Gender,Handedness,Roll,Flip,Nose,Penny,Rank,Credits,Height,Fear,State,Textbook,Textbook.last,Wage,Age,Date,Heart
Female,Right,Yes,Yes,No,Yes,FR,16,64,4,AL,0,40,13.00,54,Yes,93
Female,Right,Yes,Yes,Yes,Yes,SO,43,64,4,CA,15,30,16.58,55,No,92
Female,Right,Yes,No,No,Yes,SO,35,65,7,CA,65,80,20.00,45,No,90
Female,Right,Yes,No,No,No,SR,120,67,6,AZ,0,200,15.00,54,Yes,73
Female,Right,Yes,No,No,Yes,JR,64,62,6,CA,90,50,12.00,62,Yes,62
Female,Right,Yes,No,Yes,Yes,SO,73,63,6,ID,23,78,10.00,54,Yes,69
Female,Left,Yes,Yes,Yes,Yes,JR,78,70,5,ID,45,50,15.00,50,Yes,96
Female,Right,Yes,No,No,Yes,FR,13,66,7,ID,,,14.56,50,No,95
Female,Right,Yes,No,No,Yes,JR,70,69,4,FL,100,15,15.50,54,No,75
Female,Right,Yes,No,Yes,Yes,JR,74,70,5,UT,47,65,16.00,59,Yes,55
Female,Right,Yes,No,No,No,FR,23,65,5,TX,0,0,11.00,55,No,79
Female,Right,Yes,Yes,No,Yes,JR,80,68,6,VA,75,60,13.25,55,Yes,60
Female,Right,Yes,No,No,Yes,SO,40,78,5,WA,,0,9.00,58,No,76
Female,Right,No,Yes,No,No,FR,16,,5,ID,11,85,12.00,60,No,70
Female,Right,Yes,No,No,Yes,SO,30,68.5,6,UT,70,0,22.00,50,No,65
Female,Right,Yes,No,No,Yes,JR,96,63,2,ID,300,400,12.50,100,Yes,100
Female,Right,Yes,No,No,No,SO,47,69,5,UT,50,100,20.00,60,No,80
Female,Right,No,Yes,No,Yes,FR,13,61,6,TX,170,120,13.50,60,Yes,86
Female,Right,Yes,No,No,Yes,SO,46,62,7,ID,210,345,35.00,52,No,60
Female,Right,Yes,Yes,No,No,JR,75,62,6,Canada,150,100,20.00,60,No,50
Female,Right,Yes,No,No,Yes,JR,75,61,6,WY,100,120,17.00,61,No,50
Female,Right,No,No,No,Yes,FR,27,65,6,FL,26,38,13.00,42,Yes,81
Female,Right,Yes,Yes,No,No,FR,18,64,5,ID,21,30,13.75,52,Yes,72
Female,Right,No,No,Yes,Yes,SR,98,66,5,ID,300,300,12.00,55,Yes,52
Female,Right,Yes,No,No,Yes,JR,55,64,3,CA,,,12.50,58,No,80
Male,Right,Yes,Yes,No,No,SO,35,72,3,NE,75,150,18.37,53,Yes,65
Male,Right,Yes,Yes,No,No,SO,40,76,1,ID,0,30,12.50,65,Yes,85
Male,Right,Yes,No,No,Yes,FR,12,72,2,UT,80,50,16.00,6,No,67
